CODPROV;CODCLI;CRF;CLIENTE;REEUP;TARIFA;;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;"TOTAL "
35;Tal_CODCLI(5);OOO212;Taller;6797;;;95;93;92;98;95;92;90;68;90;91;96;79;1079
35;Ofi_CODCLI(4);OO2110;Oficina;6797;;;142;139;139;147;142;138;135;102;134;137;144;119;1618
35;Ofi_CODCLI(5);OO1840;Oficina;6797;;;1851;1810;1803;1907;1847;1800;1752;747;1746;1776;1868;1508;20417
35;Met_CODCLI;450103;"Meteorología ";6749;;;760;743;1387;782;1800;1754;1707;1290;1701;1730;862;715;15231
35;Est_CODCLI(15);623080;"Est Met";6749;;;570;557;462;685;947;923;899;679;716;728;766;635;8568
35;Est_CODCLI(16);O81141;"Est Met";6749;;;380;371;370;489;758;739;719;543;627;637;766;635;7034
35;Est_CODCLI(17);171720;"Est Met";6749;;;475;464;370;587;663;646;629;475;492;501;671;556;6529
35;Est_CODCLI(18);174152;"Est Met";6749;;;285;279;277;391;474;462;449;339;492;501;728;603;5281
35;Est_CODCLI(19);361900;"Est Met";6749;;;380;371;370;489;568;554;539;407;448;455;594;492;5668
35;CIG_CODCLI(6);171884;CIGET;6761;;;817;789;832;910;900;877;719;339;716;728;728;715;9070
35;OTN_CODCLI(8);536750;OTN;12375;;;1139;1300;1295;1369;1232;1200;1258;611;1074;911;958;635;12982
35;S.M_CODCLI;171722;S.Maisí;11962;;;475;464;462;489;474;462;449;339;448;455;479;397;5393
35;Arc_CODCLI(11);45157;Archivo;6797;;;665;650;647;685;663;646;629;475;716;637;671;556;7640
400;Del_CODCLI(6);O82630;Delg-UPS;9368;;;4614;4641;4836;5076;4964;5161;5295;3120;4915;4862;4513;4025;65391
400;CGS_CODCLI;233050;CGSAT;9368;;;408;418;416;455;441;443;431;326;430;423;431;357;4979
400;OTN_CODCLI(9);O51350;OTN;9678;;;285;362;398;587;568;646;809;305;537;455;383;286;5622
400;CMP_CODCLI(7);CMP_CRF;CMP;6749;;;2089;1950;1988;2142;2179;2216;2157;1629;2238;2459;2299;1905;25251
400;"EM _CODCLI";39917191870;"EM Cuba Francia";6749;;;451;464;462;440;474;600;584;441;582;455;479;377;5810
400;"EM _CODCLI(2)";79917153120;"EM Santa Fé";6749;;;451;464;462;489;521;646;629;475;627;501;479;377;6122
400;Cas_CODCLI(6);231850;"Casa de visita";9368;;;271;186;324;293;332;305;270;204;269;273;335;183;3243
400;AHM_CODCLI;233060;AHM;9368;;;361;279;277;293;284;277;359;475;358;546;479;238;4228
